# BugBuster Current Measurement Log
# AD8411A supply: 5.0000 V
# Rsense: 100.000 mOhm  (gain=50.0)
# AD8411A IO_Block: 4 | DUT: BB IO_Block 1 (12.50 V)
# timestamp_unix,current_A,power_W
1780604053.595,1.945547760e-03,2.431935e-02
1780604053.666,1.945547760e-03,2.431935e-02
1780604053.728,1.945547760e-03,2.431935e-02
1780604053.762,1.950904727e-03,2.438631e-02
1780604053.801,1.950904727e-03,2.438631e-02
1780604053.873,1.950904727e-03,2.438631e-02
1780604053.965,1.950904727e-03,2.438631e-02
1780604053.982,1.950904727e-03,2.438631e-02
1780604054.035,1.972854137e-03,2.466068e-02
1780604054.189,1.972854137e-03,2.466068e-02
1780604054.210,1.972854137e-03,2.466068e-02
1780604054.276,1.974709332e-03,2.468387e-02
1780604054.353,1.974709332e-03,2.468387e-02
1780604054.384,1.974709332e-03,2.468387e-02
1780604054.420,1.974709332e-03,2.468387e-02
1780604054.499,1.974709332e-03,2.468387e-02
1780604054.580,1.979492605e-03,2.474366e-02
1780604054.617,1.979492605e-03,2.474366e-02
1780604054.693,1.979492605e-03,2.474366e-02
1780604054.771,1.979492605e-03,2.474366e-02
1780604054.801,1.960985363e-03,2.451232e-02
1780604054.843,1.960985363e-03,2.451232e-02
1780604054.904,1.960985363e-03,2.451232e-02
1780604054.964,1.960985363e-03,2.451232e-02
1780604055.009,1.933149993e-03,2.416437e-02
1780604055.125,1.933149993e-03,2.416437e-02
1780604055.149,1.933149993e-03,2.416437e-02
1780604055.200,1.933149993e-03,2.416437e-02
1780604055.246,1.933149993e-03,2.416437e-02
1780604055.343,2.007633448e-03,2.509542e-02
1780604055.367,2.007633448e-03,2.509542e-02
1780604055.438,2.007633448e-03,2.509542e-02
1780604055.475,2.007633448e-03,2.509542e-02
1780604055.739,1.951880753e-03,2.439851e-02
1780604055.765,1.951880753e-03,2.439851e-02
1780604055.815,1.971483231e-03,2.464354e-02
1780604055.870,1.971483231e-03,2.464354e-02
1780604055.965,1.971483231e-03,2.464354e-02
1780604055.984,1.971483231e-03,2.464354e-02
1780604056.037,2.008400857e-03,2.510501e-02
1780604056.093,2.008400857e-03,2.510501e-02
1780604056.153,2.008400857e-03,2.510501e-02
1780604056.218,2.008400857e-03,2.510501e-02
1780604056.252,2.008400857e-03,2.510501e-02
1780604056.333,1.999028027e-03,2.498785e-02
1780604056.350,1.999028027e-03,2.498785e-02
1780604056.401,1.999028027e-03,2.498785e-02
1780604056.454,1.999028027e-03,2.498785e-02
1780604056.530,1.999028027e-03,2.498785e-02
1780604056.554,1.963786781e-03,2.454733e-02
1780604056.624,1.963786781e-03,2.454733e-02
1780604056.717,1.963786781e-03,2.454733e-02
1780604056.796,1.963786781e-03,2.454733e-02
1780604056.864,1.956827939e-03,2.446035e-02
1780604056.934,1.956827939e-03,2.446035e-02
1780604057.009,1.956827939e-03,2.446035e-02
1780604057.051,1.958973706e-03,2.448717e-02
1780604057.085,1.958973706e-03,2.448717e-02
1780604057.151,1.958973706e-03,2.448717e-02
1780604057.191,1.958973706e-03,2.448717e-02
1780604057.385,1.969769597e-03,2.462212e-02
1780604057.403,1.969769597e-03,2.462212e-02
1780604057.469,1.969769597e-03,2.462212e-02
1780604057.683,1.944661140e-03,2.430826e-02
1780604057.738,1.944661140e-03,2.430826e-02
1780604057.772,1.944661140e-03,2.430826e-02
1780604057.807,1.944661140e-03,2.430826e-02
1780604057.907,1.979038119e-03,2.473798e-02
1780604057.930,1.979038119e-03,2.473798e-02
1780604057.978,1.979038119e-03,2.473798e-02
1780604058.032,1.979038119e-03,2.473798e-02
1780604058.137,1.982711256e-03,2.478389e-02
1780604058.164,1.982711256e-03,2.478389e-02
1780604058.207,1.982711256e-03,2.478389e-02
1780604058.285,1.982711256e-03,2.478389e-02
1780604058.416,2.022691071e-03,2.528364e-02
1780604058.508,2.022691071e-03,2.528364e-02
1780604058.532,2.022691071e-03,2.528364e-02
1780604058.584,2.013720572e-03,2.517151e-02
1780604058.633,2.013720572e-03,2.517151e-02
1780604058.684,2.013720572e-03,2.517151e-02
1780604058.774,2.013720572e-03,2.517151e-02
