Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","47 pF","CAP CER 47PF 50V C0G/NPO 0603","C71","","Not managed","","1","Yageo Group","CC0603KRNPO9BN470","Volume Production","DigiKey","311-4037-1-ND","0.1","0.1"
"","1000 pF","CAP CER 1000PF 25V X7R 0603","C47, C94","","Not managed","","2","Murata","GCJ188R71E102KA01D","Volume Production","DigiKey","490-16478-1-ND","0.11","0.22"
"","10000 pF","CAP CER 10000PF 100V X7R 0603","C77, C78","","Not managed","","2","Yageo Group","AC0603KRX7R0BB103","Volume Production","DigiKey","311-3100-1-ND","0.13","0.26"
"","USB4085-GF-A","CONN RCPT USB2.0 TYPE C 24POS RA","J1","","Unknown server","","1","Global Connector Technology","USB4085-GF-A","","","","",""
"","LTM8056MPY#PBF","DC DC CONVERTER 1.2-48V","U27","","Not managed","","1","","","","","","",""
"","DFLS240-7","DIODE SCHOTTKY 40V 2A POWERDI123","D1, D2","","Unknown server","","2","Diodes Inc.","DFLS240-7","Volume Production","","","",""
"","NRVBA340T3G","DIODE SCHOTTKY 40V 3A SMA","D3","","Unknown server","","1","onsemi","NRVBA340T3G","Volume Production","","","",""
"","RS1MWF-7","DIODE STANDARD 1000V 1A SOD123F","CR1","","Not managed","","1","","","","","","",""
"","BZT52C27-7-F","DIODE ZENER 27V 500MW SOD123","D12, D13","","Not managed","","2","Diodes Inc.","BZT52C27-7-F","Volume Production","DigiKey","BZT52C27-FDICT-ND","",""
"","LTM8078EY#PBF","DUAL 40VIN, 3A SILENT SWITCR UMO","U4","","Unknown server","","1","Analog Devices","LTM8078EY#PBF","Volume Production","","","",""
"","ESP32-P4_MODULE","Dual-core RISC-V high-performance module","U30","","Not managed","","1","","","","","","",""
